文件 1 (20250309-210426.jsonl) 总条目数: 2650
文件 2 (20250312-085935.jsonl) 总条目数: 2650
文件 3 (garbage_models.jsonl) 总条目数: 2650
所有文件共同条目数: 2650
在文件 1 (20250309-210426.jsonl) 中缺失的条目数: 0
在文件 2 (20250312-085935.jsonl) 中缺失的条目数: 0
在文件 3 (garbage_models.jsonl) 中缺失的条目数: 0
值不同的条目数: 518

所有不同值:
  索引 4: 文件 1: 60, 文件 2: 44, 文件 3: 60
  索引 5: 文件 1: 92, 文件 2: 263, 文件 3: 263
  索引 11: 文件 1: 18, 文件 2: 206, 文件 3: 252
  索引 13: 文件 1: 227, 文件 2: 227, 文件 3: 49
  索引 19: 文件 1: 227, 文件 2: 86, 文件 3: 86
  索引 22: 文件 1: 198, 文件 2: 171, 文件 3: 246
  索引 27: 文件 1: 45, 文件 2: 263, 文件 3: 45
  索引 46: 文件 1: 156, 文件 2: 53, 文件 3: 156
  索引 49: 文件 1: 200, 文件 2: 87, 文件 3: 87
  索引 56: 文件 1: 70, 文件 2: 70, 文件 3: 125
  索引 68: 文件 1: 137, 文件 2: 45, 文件 3: 210
  索引 69: 文件 1: 71, 文件 2: 234, 文件 3: 71
  索引 77: 文件 1: 163, 文件 2: 163, 文件 3: 45
  索引 78: 文件 1: 234, 文件 2: 71, 文件 3: 71
  索引 84: 文件 1: 234, 文件 2: 137, 文件 3: 71
  索引 87: 文件 1: 199, 文件 2: 233, 文件 3: 199
  索引 94: 文件 1: 221, 文件 2: 63, 文件 3: 170
  索引 99: 文件 1: 20, 文件 2: 20, 文件 3: 48
  索引 115: 文件 1: 156, 文件 2: 156, 文件 3: 2
  索引 118: 文件 1: 178, 文件 2: 184, 文件 3: 178
  索引 129: 文件 1: 234, 文件 2: 87, 文件 3: 208
  索引 139: 文件 1: 70, 文件 2: 252, 文件 3: 264
  索引 145: 文件 1: 221, 文件 2: 221, 文件 3: 210
  索引 150: 文件 1: 200, 文件 2: 226, 文件 3: 200
