简单模式：基于多数投票，不使用权重

文件 1 (result.json) 总条目数: 2650
文件 2 (baseline_20000_2.jsonl ) 总条目数: 2650
所有文件共同条目数: 2650
在文件 1 (result.json) 中缺失的条目数: 0
在文件 2 (baseline_20000_2.jsonl ) 中缺失的条目数: 0
值不同的条目数: 292

所有不同值:
  索引 1: 文件 1: 16, 文件 2: 10
  索引 5: 文件 1: 263, 文件 2: 21
  索引 19: 文件 1: 86, 文件 2: 227
  索引 27: 文件 1: 45, 文件 2: 263
  索引 46: 文件 1: 156, 文件 2: 31
  索引 49: 文件 1: 87, 文件 2: 45
  索引 117: 文件 1: 108, 文件 2: 53
  索引 129: 文件 1: 87, 文件 2: 164
  索引 138: 文件 1: 70, 文件 2: 156
  索引 150: 文件 1: 200, 文件 2: 226
  索引 172: 文件 1: 70, 文件 2: 239
  索引 174: 文件 1: 150, 文件 2: 219
  索引 177: 文件 1: 137, 文件 2: 177
  索引 178: 文件 1: 159, 文件 2: 13
  索引 179: 文件 1: 200, 文件 2: 10
  索引 180: 文件 1: 167, 文件 2: 54
  索引 187: 文件 1: 87, 文件 2: 234
  索引 195: 文件 1: 251, 文件 2: 194
  索引 207: 文件 1: 10, 文件 2: 32
  索引 242: 文件 1: 177, 文件 2: 214
  索引 246: 文件 1: 10, 文件 2: 45
  索引 248: 文件 1: 239, 文件 2: 159
  索引 250: 文件 1: 231, 文件 2: 61
  索引 267: 文件 1: 137, 文件 2: 113
  索引 272: 文件 1: 195, 文件 2: 37
  索引 275: 文件 1: 208, 文件 2: 99
  索引 278: 文件 1: 214, 文件 2: 177
  索引 282: 文件 1: 105, 文件 2: 74
  索引 283: 文件 1: 232, 文件 2: 28
  索引 290: 文件 1: 9, 文件 2: 177
  索引 292: 文件 1: 252, 文件 2: 70
  索引 297: 文件 1: 86, 文件 2: 9
  索引 310: 文件 1: 53, 文件 2: 9
  索引 317: 文件 1: 161, 文件 2: 27
  索引 318: 文件 1: 227, 文件 2: 42
  索引 319: 文件 1: 256, 文件 2: 126
  索引 332: 文件 1: 45, 文件 2: 87
  索引 338: 文件 1: 182, 文件 2: 211
  索引 369: 文件 1: 113, 文件 2: 137
  索引 407: 文件 1: 76, 文件 2: 134
  索引 420: 文件 1: 67, 文件 2: 123
  索引 423: 文件 1: 66, 文件 2: 227
  索引 430: 文件 1: 115, 文件 2: 210
  索引 433: 文件 1: 27, 文件 2: 26
  索引 434: 文件 1: 206, 文件 2: 177
  索引 449: 文件 1: 199, 文件 2: 45
  索引 467: 文件 1: 32, 文件 2: 40
  索引 494: 文件 1: 70, 文件 2: 156
  索引 507: 文件 1: 163, 文件 2: 243
  索引 508: 文件 1: 216, 文件 2: 202
  索引 515: 文件 1: 195, 文件 2: 180
  索引 529: 文件 1: 137, 文件 2: 8
  索引 530: 文件 1: 232, 文件 2: 162
  索引 533: 文件 1: 92, 文件 2: 137
  索引 534: 文件 1: 84, 文件 2: 6
  索引 555: 文件 1: 24, 文件 2: 72
  索引 557: 文件 1: 132, 文件 2: 122
  索引 575: 文件 1: 144, 文件 2: 87
  索引 581: 文件 1: 74, 文件 2: 177
  索引 588: 文件 1: 234, 文件 2: 162
  索引 606: 文件 1: 35, 文件 2: 233
  索引 612: 文件 1: 216, 文件 2: 202
  索引 633: 文件 1: 44, 文件 2: 256
  索引 643: 文件 1: 150, 文件 2: 211
  索引 648: 文件 1: 163, 文件 2: 200
  索引 662: 文件 1: 25, 文件 2: 20
  索引 681: 文件 1: 26, 文件 2: 153
  索引 686: 文件 1: 71, 文件 2: 137
  索引 706: 文件 1: 243, 文件 2: 202
  索引 718: 文件 1: 226, 文件 2: 224
  索引 734: 文件 1: 159, 文件 2: 177
  索引 737: 文件 1: 239, 文件 2: 177
  索引 742: 文件 1: 246, 文件 2: 171
  索引 750: 文件 1: 137, 文件 2: 45
